Date,_AEXD,_AORDD,_ATXD,_BFXD,_FCHID,_FTSED,_GDAXD,_GSPTSED,_HSID,_IBEXD,_ISEQD,_N225D,_OMXH25D,_PSI20D,_SPXD,_SSMID
1995-06-02,272.9392488,1436.229459,1452.138815,2020.4049,2595.51994,5310.366725,2967.444173,3232.691464,1237.361187,4417.561985,2498.268975,188.0083037,935.9047252,5510.509955,532.51,2414.823104
1995-06-05,274.8531734,1437.75,1440.344671,2012.654543,2596.540902,5377.608059,2973.504262,3241.224457,1237.361187,4491.611504,2492.583973,187.2473498,949.2644109,5595.115019,535.6,2414.86893
1995-06-06,274.8531734,1448.619577,1440.344671,2012.654543,2596.540902,5378.739656,2973.504262,3246.85042,1227.903051,4451.01656,2492.583973,184.8559962,941.0061275,5543.257601,535.55,2414.86893
1995-06-07,276.5907356,1454.256854,1452.191401,2016.897084,2616.791238,5353.875476,2955.444374,3246.776021,1213.08166,4428.112966,2501.59678,184.7049122,952.4071265,5560.515093,533.13,2418.389313
1995-06-08,275.1515917,1441.702597,1441.288318,1982.906953,2570.073641,5390.306122,2964.095765,3265.233163,1201.471369,4428.423075,2496.60722,182.6626449,949.2788111,5521.269162,532.35,2421.742882
1995-06-09,275.370901,1427.287112,1444.604267,1985.002733,2526.626494,5317.349052,2953.58171,3241.503123,1198.218385,4434.534934,2508.633521,178.4814331,948.0128519,5533.077665,527.94,2407.25112
1995-06-12,275.5150201,1425.617679,1435.142481,1981.41156,2537.825931,5332.589445,2955.371234,3240.355531,1179.396199,4387.599776,2497.527333,176.2882304,952.626584,5544.458001,530.88,2427.284539
1995-06-13,274.4042702,1425.617679,1420.743391,1973.878331,2550.591628,5335.458167,2934.93848,3249.963898,1177.03257,4412.338509,2495.570623,172.5324982,943.2396338,5505.207148,536.05,2409.376258
1995-06-14,274.5631935,1417.808219,1419.928764,1979.178973,2527.783828,5389.381959,2973.951666,3257.919391,1210.544144,4442.311356,2524.493242,173.8674099,941.0838748,5505.207148,536.47,2423.646687
1995-06-15,273.7021815,1426.358281,1408.475833,1972.997949,2545.502798,5390.914747,2961.392054,3279.034688,1197.259566,4392.933179,2501.188158,175.8403312,921.6839606,5520.510177,537.12,2405.670103
1995-06-16,274.4949334,1438.962102,1408.475833,1990.129607,2541.058032,5402.182796,2961.392054,3274.435601,1204.05277,4407.806897,2519.855968,173.6530058,943.7150792,5520.510177,539.83,2391.555278
1995-06-19,275.6901158,1433.197793,1419.068818,2003.645932,2559.299681,5416.146084,3000.428983,3302.243793,1199.463578,4413.300335,2533.853455,173.801135,957.2659649,5513.288764,545.22,2419.507984
1995-06-20,278.2112884,1426.657979,1443.470892,2027.255917,2542.203754,5419.99679,3005.381265,3297.585279,1199.463578,4422.021064,2571.483188,173.5585799,975.2379124,5527.321622,544.98,2433.726666
1995-06-21,278.8112202,1433.64295,1453.157172,2030.394617,2557.627422,5437.469821,3031.592926,3278.169465,1195.042069,4422.58249,2573.587812,178.096486,1002.673518,5517.543266,543.98,2462.237762
1995-06-22,277.9678325,1432.255204,1452.860544,2025.200439,2577.781131,5430.440332,3007.552143,3300.887862,1184.01528,4431.360405,2583.248661,176.7274449,1008.212947,5457.564183,551.07,2457.476232
1995-06-23,279.7697157,1458.78033,1471.3109,2027.57118,2555.420632,5424.397913,3019.513649,3307.678311,1192.424882,4500.069213,2588.018169,181.0818505,1018.48898,5524.489102,549.71,2478.340611
1995-06-26,280.1346154,1461.543991,1443.995486,2013.684846,2555.377843,5244.37401,2998.718672,3280.95439,1189.40667,4476.746962,2564.841119,179.7460242,1018.48898,5497.227898,544.13,2461.130435
1995-06-27,282.1624411,1445.252871,1443.287933,2035.56326,2531.69739,5255.71066,2994.988021,3290.813728,1189.10877,4486.188201,2569.722821,175.3058558,999.7013917,5531.857134,542.43,2482.63534
1995-06-28,276.0713149,1458.395972,1424.122785,1998.049099,2489.633745,5173.680063,2936.742623,3294.951037,1182.653153,4398.756909,2560.378207,170.9119607,980.9590396,5492.725178,544.73,2447.627265
1995-06-29,279.667247,1452.72104,1453.865129,2033.663912,2519.757248,5259.460323,2990.313316,3285.668677,1188.846951,4430.422393,2578.136335,171.9881446,999.578047,5559.548017,543.87,2485.240262
1995-06-30,279.0997614,1430.496454,1456.140811,2029.567555,2512.73761,5284.757813,2953.487403,3300.634223,1189.78289,4421.370755,2582.512035,171.6004728,1002.21685,5557.413532,544.75,2461.062718
1995-07-03,280.8418466,1419.974483,1459.743121,2035.212561,2549.078601,5309.42492,2970.028216,3308.975428,1180.876139,4439.377724,2591.13095,171.0604629,1001.466532,5573.443476,547.09,2471.590909
1995-07-04,282.6522695,1429.220683,1460.706524,2041.829242,2562.314097,5362.151777,2991.959979,3308.975428,1186.595555,4468.016192,2594.694484,174.0880132,1007.884586,5578.697738,547.26,2480.400697
1995-07-05,283.5078196,1439.256992,1454.648542,2044.068328,2591.981206,5419.699713,2987.531957,3327.219437,1215.535133,4495.344593,2605.460302,174.783736,1029.818799,5591.293817,547.26,2484.665793
1995-07-06,284.0800516,1440.729774,1444.756505,2035.484712,2562.646939,5424.751841,3009.1722,3340.294389,1211.481925,4466.376691,2602.672169,179.5985874,1042.666665,5591.049269,553.99,2478.743877
1995-07-07,286.453928,1465.296039,1449.32439,2042.328824,2636.803865,5526.49202,3025.403756,3404.829419,1244.476744,4573.705291,2631.443952,187.0023068,1043.360543,5585.604769,556.37,2461.884097
