Effective date ,consumer discretionary,consumer staples,materials,industrials,energy,financials,utilities
2007-10-31,289.97,294.91,271.42,371.33,585.46,452.3,215.81
2007-11-01,282.18,289.42,262.14,363.53,569.87,431.3,211.0
2007-11-02,281.6,290.74,264.01,365.99,575.56,424.24,212.46
2007-11-05,278.45,291.21,261.73,365.9,573.33,418.28,214.93
2007-11-06,280.54,293.3,268.17,369.95,589.04,425.47,215.12
2007-11-07,274.21,289.28,259.56,360.52,570.18,403.95,209.73
2007-11-08,274.38,292.56,262.76,361.32,578.79,405.77,213.99
2007-11-09,268.3,290.18,257.88,354.08,566.75,406.32,212.27
2007-11-12,267.5,289.46,248.27,350.93,545.46,406.91,208.85
2007-11-13,275.22,294.99,253.4,359.16,557.87,426.94,210.25
2007-11-14,269.65,295.12,254.6,357.31,555.52,424.25,209.78
2007-11-15,267.91,294.54,248.91,352.53,542.73,411.24,210.06
2007-11-16,268.23,297.67,249.55,352.38,551.95,408.13,211.06
2007-11-19,261.81,295.63,241.4,347.26,544.27,395.88,211.55
2007-11-20,261.85,297.27,244.98,347.79,561.68,390.74,214.52
2007-11-21,259.3,293.93,240.33,342.3,552.19,382.0,212.08
2007-11-23,263.99,296.87,244.8,347.83,561.95,393.74,212.57
2007-11-26,257.92,293.32,240.16,342.03,546.28,377.8,211.1
2007-11-27,261.77,297.49,242.91,347.94,543.67,387.73,212.8
2007-11-28,270.14,301.65,254.24,357.69,552.87,407.27,215.4
2007-11-29,269.65,301.97,255.38,355.43,558.53,404.19,214.95
2007-11-30,273.03,303.33,257.59,357.47,562.13,415.89,216.03
2007-12-03,271.98,302.02,256.57,353.54,563.83,411.08,217.55
2007-12-04,270.9,301.71,254.85,351.42,558.92,403.46,219.69
2007-12-05,270.16,303.51,259.27,356.63,569.24,411.59,223.14
2007-12-06,273.13,305.54,264.36,362.39,583.15,422.36,222.82
2007-12-07,273.81,305.47,266.45,363.48,581.9,418.11,223.28
2007-12-10,274.49,306.61,270.01,365.62,585.86,426.67,223.91
2007-12-11,266.61,302.64,259.28,356.01,573.97,405.62,218.84
2007-12-12,266.44,304.55,262.38,358.13,587.72,401.85,219.12
2007-12-13,265.56,304.7,264.2,361.09,591.59,399.88,221.78
2007-12-14,261.73,301.97,258.94,355.86,582.59,392.53,218.35
2007-12-17,259.23,299.32,250.8,349.78,570.5,388.95,215.58
2007-12-18,261.48,299.59,253.13,351.76,578.72,389.34,218.73
2007-12-19,259.08,300.14,252.49,349.64,581.28,389.77,217.32
2007-12-20,259.47,300.59,257.1,351.19,586.66,387.22,217.55
2007-12-21,263.14,303.87,263.25,357.43,600.67,395.13,219.19
2007-12-24,265.41,305.16,265.0,361.06,604.04,402.13,219.26
2007-12-26,264.08,304.59,266.68,361.1,611.17,400.21,218.31
2007-12-27,260.71,301.71,261.98,356.46,604.81,391.26,216.33
2007-12-28,260.22,302.68,262.11,356.99,610.8,389.43,218.0
2007-12-31,259.53,299.55,259.84,354.35,603.04,392.08,216.11
2008-01-02,254.15,295.48,257.63,348.14,606.81,382.4,213.17
2008-01-03,251.15,294.6,261.38,349.89,610.01,379.92,213.85
2008-01-04,243.58,292.93,254.02,341.26,594.11,369.07,214.6
2008-01-07,244.75,298.03,251.29,339.08,587.29,370.68,219.96
2008-01-08,240.02,297.18,247.25,331.09,579.86,357.16,219.78
2008-01-09,241.98,299.69,249.43,333.62,588.43,363.16,222.57
2008-01-10,245.01,301.93,252.76,337.48,585.33,371.62,221.49
2008-01-11,238.86,295.75,249.62,330.81,576.81,370.88,219.88
2008-01-14,241.16,295.06,258.33,335.07,585.6,374.63,220.48
2008-01-15,235.62,291.19,250.52,327.29,564.92,360.73,217.9
2008-01-16,238.62,290.49,242.45,326.21,547.53,365.36,214.49
2008-01-17,234.33,286.58,229.36,314.45,526.41,348.24,206.36
2008-01-18,234.34,283.59,233.66,317.35,528.5,342.03,202.83
2008-01-22,238.23,279.49,231.02,316.93,514.07,349.67,196.01
2008-01-23,246.92,282.67,233.79,325.36,516.9,373.33,202.8
2008-01-24,248.44,281.73,240.45,327.22,533.32,375.48,197.2
2008-01-25,243.56,277.89,239.9,325.73,525.48,366.19,193.81
2008-01-28,248.14,281.25,244.76,330.7,534.6,378.42,196.65
2008-01-29,249.32,280.79,246.06,332.79,537.09,383.86,197.39
2008-01-30,247.73,279.43,245.98,333.8,535.39,379.5,196.99
2008-01-31,256.13,283.56,249.38,338.54,537.15,389.71,201.06
2008-02-01,259.87,286.14,254.88,343.8,540.81,397.21,204.25
2008-02-04,254.39,284.08,251.33,340.59,541.3,387.14,207.37
2008-02-05,247.41,278.76,242.1,330.67,521.0,369.44,200.04
2008-02-06,245.87,278.0,240.79,329.67,512.79,365.52,199.73
2008-02-07,250.04,282.17,242.23,330.27,518.83,371.61,198.89
2008-02-08,248.33,280.01,246.79,328.27,525.39,363.08,197.79
2008-02-11,251.72,282.87,250.5,331.14,538.36,356.21,199.43
2008-02-12,253.0,285.68,250.98,333.5,539.27,361.07,201.7
2008-02-13,255.73,286.42,253.54,339.56,551.51,364.03,201.71
2008-02-14,252.2,283.73,251.67,334.85,551.35,357.01,199.58
2008-02-15,253.32,284.79,251.23,333.36,550.12,359.25,200.42
2008-02-19,251.7,284.62,255.98,333.49,563.61,356.52,199.97
2008-02-20,254.03,285.07,259.08,335.12,572.18,362.11,199.89
2008-02-21,249.42,284.02,255.0,330.33,560.21,357.26,196.52
2008-02-22,252.73,285.76,256.39,332.07,564.8,362.89,198.81
2008-02-25,256.91,287.6,262.92,337.62,578.89,367.09,199.65
2008-02-26,260.0,289.78,262.96,338.57,587.19,367.84,201.3
2008-02-27,259.33,289.29,263.81,337.89,582.52,370.85,197.58
2008-02-28,253.19,287.67,263.06,336.13,590.66,359.59,196.27
2008-02-29,245.68,282.83,254.01,328.13,572.93,345.16,190.38
2008-03-03,246.29,284.06,257.94,330.08,577.7,340.92,192.61
2008-03-04,246.47,284.66,252.33,328.95,568.93,338.15,195.52
2008-03-05,246.51,285.44,258.46,332.07,579.13,335.77,195.62
2008-03-06,240.0,282.78,255.24,325.95,565.75,323.53,191.28
2008-03-07,237.82,281.4,245.81,320.66,553.8,324.62,190.5
2008-03-10,234.18,280.38,237.82,314.82,547.31,314.67,189.22
2008-03-11,241.41,285.45,252.13,326.47,572.47,338.02,195.21
2008-03-12,239.77,284.34,251.22,327.37,563.71,330.86,192.64
2008-03-13,240.7,284.34,256.45,329.25,571.3,332.0,192.99
2008-03-14,236.19,279.81,253.75,324.73,562.06,318.52,191.28
2008-03-17,232.67,278.55,248.25,324.85,547.8,313.62,191.2
2008-03-18,242.77,285.29,257.01,337.9,567.73,340.25,194.54
2008-03-19,239.6,283.6,240.85,329.63,536.91,333.37,190.34
2008-03-20,247.26,288.17,239.55,335.73,539.99,356.51,191.44
2008-03-24,254.98,291.05,247.25,340.62,546.74,359.03,190.9
2008-03-25,254.33,291.87,254.18,342.72,550.18,358.01,190.77
2008-03-26,248.67,291.03,254.53,340.47,562.08,345.57,191.74
2008-03-27,245.32,290.41,251.1,336.94,557.66,338.55,192.79
2008-03-28,239.87,290.64,250.69,335.97,555.35,331.75,191.14
2008-03-31,243.32,291.22,250.62,338.51,557.65,334.56,193.04
2008-04-01,253.88,295.54,256.77,349.64,569.11,359.64,197.98
2008-04-02,254.38,293.47,258.85,348.53,576.91,357.23,199.36
2008-04-03,253.6,293.47,263.44,347.92,577.69,358.61,198.47
2008-04-04,252.5,293.81,267.24,349.09,583.49,353.61,199.39
2008-04-07,252.28,293.57,265.73,347.86,584.65,357.09,199.67
2008-04-08,250.78,292.91,267.07,346.19,589.22,351.09,200.48
2008-04-09,245.98,290.67,264.76,342.44,591.92,344.88,200.49
2008-04-10,248.16,291.6,265.36,344.54,592.33,343.52,199.31
2008-04-11,243.31,289.36,261.64,328.62,583.93,337.28,199.31
2008-04-14,241.94,289.57,260.74,328.33,594.19,329.06,199.48
2008-04-15,242.45,290.97,261.65,329.47,600.01,332.64,201.07
2008-04-16,246.32,292.16,274.62,337.82,616.31,343.61,205.55
2008-04-17,247.87,291.04,272.58,335.08,616.8,348.5,205.6
2008-04-18,252.83,291.17,276.17,344.15,628.76,354.81,206.05
2008-04-21,252.61,291.9,276.39,342.36,634.43,348.76,204.77
2008-04-22,248.43,289.42,272.67,338.79,635.6,345.7,203.63
2008-04-23,249.25,291.75,269.25,338.92,630.97,343.09,205.24
2008-04-24,252.53,291.25,265.6,342.31,616.82,356.12,203.76
2008-04-25,255.09,289.8,273.75,345.43,623.48,362.28,204.33
2008-04-28,255.23,290.46,270.46,345.52,622.02,361.72,203.94
2008-04-29,256.49,291.48,262.14,344.16,612.83,359.4,202.81
2008-04-30,253.6,290.1,263.97,343.04,618.24,355.78,203.09
2008-05-01,261.95,291.8,262.11,348.28,604.84,369.7,205.2
2008-05-02,261.44,291.56,265.57,349.4,612.05,370.85,207.39
2008-05-05,258.16,291.31,269.6,347.72,617.99,365.48,204.6
2008-05-06,259.52,291.7,272.36,349.81,631.3,368.74,204.64
2008-05-07,255.86,289.12,268.55,343.62,622.6,355.25,201.62
2008-05-08,255.18,289.61,274.81,345.68,634.68,350.88,202.48
2008-05-09,253.97,287.55,270.74,342.92,629.99,347.49,202.98
2008-05-12,259.25,290.03,275.82,347.32,628.91,353.42,204.91
2008-05-13,259.88,289.82,276.69,349.49,636.14,348.43,203.96
2008-05-14,262.43,291.27,278.3,350.36,630.33,351.69,205.71
2008-05-15,265.73,293.58,282.23,351.41,640.87,356.04,205.14
2008-05-16,263.35,294.02,285.91,350.39,657.09,351.22,206.42
2008-05-19,262.59,293.62,285.09,352.17,663.66,349.35,208.79
2008-05-20,258.36,291.23,285.3,348.01,668.81,341.67,209.48
2008-05-21,253.3,288.53,276.51,341.93,660.85,332.86,209.38
2008-05-22,253.8,291.69,275.58,341.3,653.8,335.87,210.35
2008-05-23,249.44,290.59,271.82,336.55,641.42,329.64,206.25
2008-05-27,252.21,291.98,270.4,339.26,637.0,332.38,207.77
2008-05-28,253.25,290.65,277.97,342.1,646.66,330.23,207.71
2008-05-29,255.73,293.75,274.3,343.83,633.59,335.56,209.15
2008-05-30,254.78,293.82,276.15,345.82,637.78,333.13,208.96
2008-06-02,251.83,291.37,274.51,342.13,638.09,327.2,206.81
2008-06-03,251.77,290.67,274.26,339.59,626.62,325.2,205.6
2008-06-04,253.13,292.08,272.98,339.19,618.9,322.58,207.92
2008-06-05,256.28,295.32,282.34,343.44,646.08,329.12,210.25
2008-06-06,246.08,287.94,275.37,330.8,635.88,312.79,204.83
2008-06-09,245.75,288.59,278.96,332.27,652.79,305.57,208.01
2008-06-10,246.82,291.07,275.38,332.01,638.36,308.9,208.24
2008-06-11,241.37,288.14,270.44,324.65,643.26,298.78,206.27
2008-06-12,242.97,289.84,270.1,325.29,631.72,304.82,206.17
2008-06-13,249.16,289.92,277.33,329.08,638.64,311.06,209.2
2008-06-16,248.86,286.7,277.48,328.09,640.22,314.33,209.18
2008-06-17,245.57,285.37,277.98,324.83,651.07,305.13,209.26
2008-06-18,240.92,282.23,276.19,321.62,650.36,301.43,208.55
2008-06-19,243.85,283.36,276.63,324.64,636.67,304.08,210.24
2008-06-20,236.5,279.85,272.04,319.32,631.95,296.36,206.98
2008-06-23,232.61,279.15,274.7,319.49,655.49,288.27,208.81
2008-06-24,232.1,279.82,267.89,315.51,645.5,292.57,208.06
2008-06-25,235.49,283.22,268.63,313.99,642.37,293.7,209.05
2008-06-26,227.25,277.28,260.2,301.61,635.45,280.66,203.39
2008-06-27,225.63,273.87,261.11,299.92,640.8,276.85,202.14
2008-06-30,223.57,273.97,260.34,302.65,652.0,270.95,206.74
2008-07-01,223.54,275.49,257.62,303.0,656.08,273.69,208.04
2008-07-02,219.64,275.21,244.09,293.79,634.88,269.78,206.81
2008-07-03,220.22,277.25,246.05,296.97,631.93,268.89,205.29
2008-07-07,218.73,277.34,245.6,297.0,617.42,260.4,203.52
2008-07-08,223.65,281.37,244.04,304.03,607.88,275.29,204.38
2008-07-09,217.71,279.84,242.05,296.74,595.03,260.9,206.21
2008-07-10,213.97,279.78,248.13,300.36,610.97,258.47,207.22
2008-07-11,211.29,278.47,247.22,297.25,606.52,251.84,205.5
2008-07-14,210.18,278.96,247.15,295.79,611.12,239.22,202.83
2008-07-15,210.78,279.1,244.4,290.53,585.52,232.15,201.85
2008-07-16,220.02,281.31,246.88,299.76,573.4,260.7,198.0
2008-07-17,225.44,279.94,246.33,304.3,564.28,277.59,194.82
2008-07-18,225.08,278.26,245.27,304.14,572.83,280.64,196.47
2008-07-21,222.22,276.33,250.42,303.98,589.64,278.26,198.8
2008-07-22,226.86,281.8,250.13,310.54,576.7,296.6,198.57
2008-07-23,231.49,283.1,245.94,314.11,554.6,302.17,194.01
2008-07-24,224.98,280.46,240.45,306.22,551.39,281.79,192.71
2008-07-25,224.13,280.3,242.65,308.33,556.88,280.09,191.52
2008-07-28,218.58,278.04,241.25,301.81,554.33,267.34,191.16
2008-07-29,225.77,283.62,246.64,309.89,549.85,287.37,191.92
2008-07-30,226.68,286.58,253.65,314.62,580.6,293.13,194.74
2008-07-31,224.52,282.87,249.49,307.94,560.76,289.39,193.77
2008-08-01,223.32,282.77,243.14,305.9,558.64,291.18,187.33
2008-08-04,224.39,286.18,232.95,304.17,531.54,287.52,185.05
2008-08-05,234.49,292.51,236.04,313.43,537.12,302.05,187.8
2008-08-06,233.43,293.41,239.8,313.61,547.37,299.04,187.07
2008-08-07,228.71,287.93,236.24,309.13,539.36,284.03,186.74
2008-08-08,240.57,294.64,238.26,319.27,536.34,294.08,189.31
2008-08-11,246.66,295.83,237.25,320.08,534.2,299.57,191.02
2008-08-12,243.01,297.03,238.41,316.85,530.79,284.01,187.05
2008-08-13,239.08,295.26,244.14,314.42,548.63,275.59,188.49
2008-08-14,243.8,295.91,241.66,316.19,541.7,282.62,186.05
2008-08-15,246.25,298.99,240.62,318.55,532.15,285.78,187.19
2008-08-18,241.93,296.13,238.52,314.57,525.84,275.56,187.38
2008-08-19,236.51,294.01,238.0,309.27,540.72,267.17,187.57
2008-08-20,235.22,293.49,243.07,308.76,555.71,271.64,188.76
2008-08-21,236.34,292.44,244.81,309.42,568.51,268.74,190.75
2008-08-22,241.55,295.82,243.88,314.24,559.7,277.09,191.19
2008-08-25,235.7,291.38,238.28,307.99,551.27,268.46,189.08
2008-08-26,236.31,290.95,239.81,308.37,561.06,270.38,191.24
2008-08-27,237.32,291.85,242.57,310.24,567.85,274.9,192.62
2008-08-28,242.8,293.62,245.9,317.59,563.58,287.27,193.78
2008-08-29,240.28,289.98,242.46,313.11,556.07,285.59,190.18
2008-09-02,244.71,293.01,236.29,313.13,530.38,290.76,187.51
2008-09-03,246.11,292.82,234.62,311.57,528.55,294.71,184.71
2008-09-04,237.89,289.52,225.63,300.41,517.19,280.89,182.48
2008-09-05,238.45,292.36,228.18,300.85,514.88,289.96,178.92
2008-09-08,248.21,298.38,227.39,307.92,512.28,303.43,183.25
2008-09-09,241.94,296.57,216.86,297.64,479.45,283.41,177.57
2008-09-10,242.14,297.83,220.96,299.55,496.8,281.39,178.81
2008-09-11,245.42,301.09,225.82,304.74,504.14,285.67,180.96
2008-09-12,244.24,300.8,233.09,302.8,518.25,282.63,183.45
2008-09-15,237.4,296.29,220.88,289.94,482.65,252.82,177.66
2008-09-16,238.73,297.01,227.04,293.19,501.28,268.53,175.78
2008-09-17,227.18,287.28,218.94,279.2,489.1,244.54,166.42
2008-09-18,236.72,293.58,223.47,289.18,503.65,273.22,172.07
2008-09-19,240.86,292.5,236.13,298.37,536.93,303.57,176.92
2008-09-22,228.92,284.82,228.85,289.24,531.05,277.83,173.36
2008-09-23,225.22,282.36,221.56,281.98,515.85,273.61,171.34
2008-09-24,223.7,283.55,219.89,278.19,516.13,269.54,171.63
2008-09-25,228.04,288.21,218.91,282.13,528.49,276.6,176.14
2008-09-26,230.32,290.05,213.08,281.54,519.29,284.98,174.49
2008-09-29,213.07,277.85,194.88,263.88,462.52,239.36,165.93
2008-09-30,221.25,285.3,200.66,275.05,489.35,270.68,168.0
2008-10-01,219.55,289.31,197.1,267.99,481.11,276.51,168.68
2008-10-02,210.29,285.49,181.38,249.78,452.62,264.57,164.18
2008-10-03,204.51,283.37,181.28,246.92,451.78,254.07,163.07
2008-10-06,197.13,273.71,173.36,241.2,435.56,243.47,154.42
2008-10-07,185.84,264.74,164.15,230.95,412.22,215.39,148.59
2008-10-08,183.21,260.25,168.46,229.93,415.82,208.91,145.75
2008-10-09,169.95,243.51,156.85,214.77,368.35,184.38,136.77
2008-10-10,167.12,238.2,153.49,218.54,338.68,197.22,130.07
2008-10-13,184.11,258.35,173.88,234.45,401.28,217.39,147.66
2008-10-14,179.16,251.57,168.64,230.94,400.83,231.33,145.91
2008-10-15,161.95,236.41,148.18,210.61,338.56,210.23,133.98
2008-10-16,169.34,246.75,153.96,219.67,364.95,213.72,139.08
2008-10-17,170.08,246.92,153.51,215.25,363.33,208.79,140.46
2008-10-20,176.38,254.65,166.02,222.94,403.85,214.66,151.78
2008-10-21,170.98,250.69,156.63,217.88,386.51,210.71,146.16
